customer_state,order_purchase_date,Total_sales
BA,2017-02-26,544.55
BA,2017-02-27,233.32
BA,2017-02-28,148.78
BA,2017-03-01,780.97
BA,2017-03-02,52.5
BA,2017-03-03,97.12
BA,2017-03-04,434.61
BA,2017-03-05,488.51
BA,2017-03-06,325.42999999999995
BA,2017-03-07,230.19
BA,2017-03-08,205.53
BA,2017-03-09,666.34
BA,2017-03-10,593.61
BA,2017-03-12,214.53
BA,2017-03-13,1270.7
BA,2017-03-14,602.78
BA,2017-03-15,630.6600000000001
BA,2017-03-16,844.52
BA,2017-03-18,133.03
BA,2017-03-19,146.28
BA,2017-03-20,609.3900000000001
BA,2017-03-21,678.19
BA,2017-03-22,898.03
BA,2017-03-23,307.75
BA,2017-03-24,693.27
BA,2017-03-25,794.02
BA,2017-03-26,339.25
BA,2017-03-27,1046.2800000000002
BA,2017-03-28,1446.1599999999999
BA,2017-03-29,1250.55
BA,2017-03-30,53.55
BA,2017-03-31,339.71
BA,2017-04-01,400.42
BA,2017-04-02,143.65
BA,2017-04-04,490.4000000000001
BA,2017-04-05,731.74
BA,2017-04-06,732.41
BA,2017-04-07,1154.03
BA,2017-04-08,323.77
BA,2017-04-09,516.3599999999999
BA,2017-04-10,505.22
BA,2017-04-11,216.96
BA,2017-04-12,742.8199999999999
BA,2017-04-13,98.93
BA,2017-04-14,448.48
BA,2017-04-15,394.82000000000005
BA,2017-04-16,50.92
BA,2017-04-17,140.6
BA,2017-04-18,186.3
BA,2017-04-19,264.96999999999997
BA,2017-04-20,186.85
BA,2017-04-21,123.57
BA,2017-04-22,278.72
BA,2017-04-23,295.22
BA,2017-04-24,407.35
BA,2017-04-25,158.85999999999999
BA,2017-04-26,3748.79
BA,2017-04-27,234.56
BA,2017-04-28,716.91
BA,2017-04-29,495.99
BA,2017-04-30,1622.97
BA,2017-05-01,634.24
BA,2017-05-02,872.52
BA,2017-05-03,725.72
BA,2017-05-04,493.48
BA,2017-05-05,1413.14
BA,2017-05-06,30.09
BA,2017-05-07,813.6600000000001
BA,2017-05-08,923.52
BA,2017-05-09,343.1
BA,2017-05-10,1532.8400000000001
BA,2017-05-11,158.54000000000002
BA,2017-05-12,629.34
BA,2017-05-13,468.73
BA,2017-05-14,725.56
BA,2017-05-15,1942.84
BA,2017-05-16,753.36
BA,2017-05-17,353.46000000000004
BA,2017-05-18,764.8000000000001
BA,2017-05-19,1557.02
BA,2017-05-20,459.4
BA,2017-05-21,7580.56
BA,2017-05-22,1316.2
BA,2017-05-23,562.4300000000001
BA,2017-05-24,1617.4599999999998
BA,2017-05-25,128.26
BA,2017-05-26,206.89
BA,2017-05-27,259.64
BA,2017-05-28,483.91999999999996
BA,2017-05-29,2751.19
BA,2017-05-30,1624.26
BA,2017-05-31,674.8
BA,2017-06-01,874.3399999999999
BA,2017-06-02,315.01
BA,2017-06-03,1061.13
BA,2017-06-04,592.2900000000001
BA,2017-06-05,226.12
BA,2017-06-06,476.69000000000005
BA,2017-06-07,401.12
BA,2017-06-08,385.71999999999997
BA,2017-06-09,273.71000000000004
BA,2017-06-10,844.4300000000001
BA,2017-06-11,760.25
BA,2017-06-12,535.27
BA,2017-06-13,580.82
BA,2017-06-14,691.9599999999999
BA,2017-06-15,125.67999999999999
BA,2017-06-16,621.98
BA,2017-06-17,646.3199999999999
BA,2017-06-18,744.29
BA,2017-06-19,978.2
BA,2017-06-20,265.27
BA,2017-06-21,77.21
BA,2017-06-22,913.7399999999999
BA,2017-06-23,152.62
BA,2017-06-24,292.44
BA,2017-06-25,363.46
BA,2017-06-26,415.65
BA,2017-06-27,966.09
BA,2017-06-28,866.3499999999999
BA,2017-06-29,422.63
BA,2017-06-30,1486.66
BA,2017-07-01,1612.8200000000002
BA,2017-07-02,196.83
BA,2017-07-03,360.5
BA,2017-07-04,580.26
BA,2017-07-05,780.53
BA,2017-07-06,842.52
BA,2017-07-07,408.84000000000003
BA,2017-07-08,237.56
BA,2017-07-09,996.76
BA,2017-07-10,1484.02
BA,2017-07-11,1270.68
BA,2017-07-12,306.17
BA,2017-07-13,154.17000000000002
BA,2017-07-14,1000.5700000000002
BA,2017-07-15,261.62
BA,2017-07-16,702.84
BA,2017-07-17,642.03
BA,2017-07-18,486.76
BA,2017-07-19,684.42
BA,2017-07-20,312.0
BA,2017-07-22,339.64
BA,2017-07-23,1082.6499999999999
BA,2017-07-24,872.3899999999999
BA,2017-07-25,1428.39
BA,2017-07-26,2517.6000000000004
BA,2017-07-27,1093.54
BA,2017-07-28,1670.71
BA,2017-07-29,980.6299999999999
BA,2017-07-30,1242.48
BA,2017-07-31,739.77
BA,2017-08-01,1238.7
BA,2017-08-02,743.1500000000001
BA,2017-08-03,1436.15
BA,2017-08-04,670.34
BA,2017-08-05,415.4
BA,2017-08-06,993.92
BA,2017-08-07,151.45
BA,2017-08-08,1309.92
BA,2017-08-09,640.7099999999999
BA,2017-08-10,1312.23
BA,2017-08-11,638.44
BA,2017-08-12,897.24
BA,2017-08-13,610.62
BA,2017-08-14,621.76
BA,2017-08-15,1620.71
BA,2017-08-16,1573.7699999999998
BA,2017-08-17,1210.61
BA,2017-08-18,295.69
BA,2017-08-19,372.38
BA,2017-08-20,423.13
BA,2017-08-21,1035.2
BA,2017-08-22,855.5099999999999
BA,2017-08-23,408.22
BA,2017-08-24,451.07000000000005
BA,2017-08-25,688.11
BA,2017-08-26,156.41
BA,2017-08-27,119.9
BA,2017-08-28,1692.83
BA,2017-08-29,495.14
BA,2017-08-30,1185.6100000000001
BA,2017-08-31,1053.18
BA,2017-09-01,1145.22
BA,2017-09-02,830.8499999999999
BA,2017-09-03,1006.97
BA,2017-09-04,1138.55
BA,2017-09-05,396.04999999999995
BA,2017-09-06,371.61
BA,2017-09-07,575.34
BA,2017-09-08,1163.89
BA,2017-09-09,55.28
BA,2017-09-10,1563.36
BA,2017-09-11,718.33
BA,2017-09-12,1825.83
BA,2017-09-13,1603.5300000000002
BA,2017-09-14,138.42
BA,2017-09-15,530.06
BA,2017-09-16,519.9300000000001
BA,2017-09-17,98.95
BA,2017-09-18,6531.490000000001
BA,2017-09-19,928.59
BA,2017-09-20,887.46
BA,2017-09-21,38.78
BA,2017-09-22,913.31
BA,2017-09-23,916.14
BA,2017-09-24,355.24
BA,2017-09-25,995.9000000000001
BA,2017-09-26,1003.92
BA,2017-09-27,1079.54
BA,2017-09-28,1003.97
BA,2017-09-29,290.73
BA,2017-09-30,640.64
BA,2017-10-01,452.63
BA,2017-10-02,479.23
BA,2017-10-03,1088.7800000000002
BA,2017-10-04,264.32000000000005
BA,2017-10-05,700.3
BA,2017-10-06,300.55
BA,2017-10-07,160.29000000000002
BA,2017-10-08,1456.4
BA,2017-10-09,162.24
BA,2017-10-10,958.1600000000001
BA,2017-10-11,2086.21
BA,2017-10-12,753.25
BA,2017-10-13,491.21999999999997
BA,2017-10-14,589.3199999999999
BA,2017-10-15,188.09
BA,2017-10-16,2432.54
BA,2017-10-17,430.69
BA,2017-10-18,678.14
BA,2017-10-19,1061.78
BA,2017-10-20,343.04
BA,2017-10-21,913.23
BA,2017-10-22,1410.1399999999999
BA,2017-10-23,1963.16
BA,2017-10-24,237.2
BA,2017-10-25,1280.02
BA,2017-10-26,754.44
BA,2017-10-27,673.6600000000001
BA,2017-10-28,170.44
BA,2017-10-29,729.62
BA,2017-10-30,410.97999999999996
BA,2017-10-31,1405.44
BA,2017-11-01,541.47
BA,2017-11-02,944.4499999999999
BA,2017-11-03,590.22
BA,2017-11-04,3454.06
BA,2017-11-05,771.12
BA,2017-11-06,583.26
BA,2017-11-07,702.47
BA,2017-11-08,1981.83
BA,2017-11-09,222.50000000000003
BA,2017-11-10,2946.75
BA,2017-11-11,2335.39
BA,2017-11-12,1018.25
BA,2017-11-13,524.89
BA,2017-11-14,1028.71
BA,2017-11-15,695.47
BA,2017-11-16,1196.74
BA,2017-11-17,1619.9099999999999
BA,2017-11-18,3032.8999999999996
BA,2017-11-19,2018.02
BA,2017-11-20,580.09
BA,2017-11-21,1879.19
BA,2017-11-22,942.33
BA,2017-11-23,2787.5899999999997
BA,2017-11-24,11314.36
BA,2017-11-25,1894.4900000000002
BA,2017-11-26,1461.71
BA,2017-11-27,2782.78
