customer_state,order_purchase_year,order_purchase_week,Total_orders
MT,2017,34,9
MT,2017,35,7
MT,2017,36,13
MT,2017,37,10
MT,2017,38,13
MT,2017,39,16
MT,2017,4,1
MT,2017,40,11
MT,2017,41,8
MT,2017,42,13
MT,2017,43,6
MT,2017,44,10
MT,2017,45,12
MT,2017,46,13
MT,2017,47,32
MT,2017,48,20
MT,2017,49,19
MT,2017,5,5
MT,2017,50,14
MT,2017,51,7
MT,2017,52,5
MT,2017,6,2
MT,2017,8,5
MT,2017,9,4
MT,2018,1,17
MT,2018,10,14
MT,2018,11,21
MT,2018,12,18
MT,2018,13,17
MT,2018,14,11
MT,2018,15,13
MT,2018,16,19
MT,2018,17,14
MT,2018,18,16
MT,2018,19,19
MT,2018,2,14
MT,2018,20,14
MT,2018,21,4
MT,2018,22,9
MT,2018,23,14
MT,2018,24,13
MT,2018,25,10
MT,2018,26,10
MT,2018,27,10
MT,2018,28,6
MT,2018,29,20
MT,2018,3,17
MT,2018,30,17
MT,2018,31,19
MT,2018,32,15
MT,2018,33,18
MT,2018,34,11
MT,2018,4,15
MT,2018,5,11
MT,2018,6,11
MT,2018,7,8
MT,2018,8,18
MT,2018,9,19
PA,2016,40,1
PA,2017,10,7
PA,2017,11,2
PA,2017,12,5
PA,2017,13,7
PA,2017,14,5
PA,2017,15,7
PA,2017,16,4
PA,2017,17,5
PA,2017,18,7
PA,2017,19,12
PA,2017,2,1
PA,2017,20,8
PA,2017,21,11
PA,2017,22,5
PA,2017,23,9
PA,2017,24,7
PA,2017,25,6
PA,2017,26,9
PA,2017,27,8
PA,2017,28,4
PA,2017,29,17
PA,2017,3,2
PA,2017,30,9
PA,2017,31,10
PA,2017,32,16
PA,2017,33,6
PA,2017,34,8
PA,2017,35,10
PA,2017,36,7
PA,2017,37,13
PA,2017,38,9
PA,2017,39,4
PA,2017,4,6
PA,2017,40,12
PA,2017,41,14
PA,2017,42,9
PA,2017,43,6
PA,2017,44,11
PA,2017,45,20
PA,2017,46,13
PA,2017,47,38
PA,2017,48,23
PA,2017,49,16
PA,2017,5,9
PA,2017,50,12
PA,2017,51,11
PA,2017,52,8
PA,2017,6,3
PA,2017,7,4
PA,2017,8,2
PA,2017,9,5
PA,2018,1,13
PA,2018,10,21
PA,2018,11,9
PA,2018,12,24
PA,2018,13,18
PA,2018,14,9
PA,2018,15,20
PA,2018,16,26
PA,2018,17,13
PA,2018,18,20
PA,2018,19,28
PA,2018,2,17
PA,2018,20,15
PA,2018,21,8
PA,2018,22,12
PA,2018,23,12
PA,2018,24,11
PA,2018,25,16
PA,2018,26,11
PA,2018,27,13
PA,2018,28,8
PA,2018,29,12
PA,2018,3,18
PA,2018,30,16
PA,2018,31,27
PA,2018,32,23
PA,2018,33,21
PA,2018,34,19
PA,2018,35,2
PA,2018,4,8
PA,2018,5,19
PA,2018,6,17
PA,2018,7,23
PA,2018,8,16
PA,2018,9,18
PB,2017,10,3
PB,2017,11,2
PB,2017,12,3
PB,2017,13,1
PB,2017,14,2
PB,2017,15,2
PB,2017,16,2
PB,2017,17,1
PB,2017,18,4
PB,2017,19,4
PB,2017,2,1
PB,2017,20,10
PB,2017,21,4
PB,2017,22,4
PB,2017,23,6
PB,2017,24,7
PB,2017,25,1
PB,2017,26,8
PB,2017,27,5
PB,2017,28,2
PB,2017,29,3
PB,2017,30,7
PB,2017,31,8
PB,2017,32,5
PB,2017,33,10
PB,2017,34,3
PB,2017,35,8
PB,2017,36,7
PB,2017,37,9
PB,2017,38,8
PB,2017,39,9
PB,2017,4,3
PB,2017,40,6
PB,2017,41,5
PB,2017,42,7
PB,2017,43,6
PB,2017,44,11
PB,2017,45,7
PB,2017,46,10
PB,2017,47,20
PB,2017,48,8
PB,2017,49,9
PB,2017,5,2
PB,2017,50,9
PB,2017,51,5
PB,2017,52,3
PB,2017,6,2
PB,2017,7,1
PB,2017,8,4
PB,2017,9,2
PB,2018,1,7
PB,2018,10,2
PB,2018,11,6
PB,2018,12,10
PB,2018,13,11
PB,2018,14,12
PB,2018,15,4
PB,2018,16,6
PB,2018,17,9
PB,2018,18,2
PB,2018,19,10
PB,2018,2,16
PB,2018,20,11
PB,2018,21,4
PB,2018,22,4
PB,2018,23,9
PB,2018,24,10
PB,2018,25,17
PB,2018,26,10
PB,2018,27,5
PB,2018,28,5
PB,2018,29,9
PB,2018,3,11
PB,2018,30,6
PB,2018,31,5
PB,2018,32,15
PB,2018,33,7
PB,2018,34,3
PB,2018,35,1
PB,2018,4,11
PB,2018,5,12
PB,2018,6,6
PB,2018,7,9
PB,2018,8,6
PB,2018,9,11
PE,2016,40,8
PE,2017,1,1
PE,2017,10,12
PE,2017,11,15
PE,2017,12,13
PE,2017,13,7
PE,2017,14,8
PE,2017,15,12
PE,2017,16,11
PE,2017,17,12
PE,2017,18,12
PE,2017,19,9
PE,2017,20,16
PE,2017,21,19
PE,2017,22,11
PE,2017,23,16
PE,2017,24,9
PE,2017,25,7
PE,2017,26,12
PE,2017,27,13
PE,2017,28,15
PE,2017,29,21
PE,2017,3,4
