customer_city,order_purchase_date,Total_sales
Aguas Formosas,2018-06-18,165.6
Aguas Lindas de Goias,2016-10-04,288.17
Aguas Lindas de Goias,2017-03-14,165.48
Aguas Lindas de Goias,2017-05-11,137.97
Aguas Lindas de Goias,2017-07-13,60.68
Aguas Lindas de Goias,2017-08-22,34.089999999999996
Aguas Lindas de Goias,2017-08-24,116.94
Aguas Lindas de Goias,2017-09-18,40.07
Aguas Lindas de Goias,2017-11-29,69.5
Aguas Lindas de Goias,2018-01-26,65.0
Aguas Lindas de Goias,2018-02-12,38.0
Aguas Lindas de Goias,2018-02-17,80.11
Aguas Lindas de Goias,2018-03-04,95.64999999999999
Aguas Lindas de Goias,2018-04-02,179.04000000000002
Aguas Lindas de Goias,2018-04-06,50.7
Aguas Lindas de Goias,2018-04-08,30.1
Aguas Lindas de Goias,2018-04-15,147.0
Aguas Lindas de Goias,2018-05-15,209.11
Aguas Lindas de Goias,2018-05-17,53.269999999999996
Aguas Lindas de Goias,2018-05-20,89.28
Aguas Lindas de Goias,2018-06-04,96.57
Aguas Lindas de Goias,2018-06-28,54.230000000000004
Aguas Lindas de Goias,2018-07-30,63.1
Aguas Lindas de Goias,2018-08-19,31.11
Aguas Mornas,2017-02-23,169.56
Aguas Mornas,2017-09-30,104.52000000000001
Aguas Vermelhas,2017-11-04,251.29000000000002
Aguas Vermelhas,2018-05-24,387.6
Aguas Vermelhas,2018-06-13,64.1
Aguas Vermelhas,2018-07-23,85.14
Aguas da Prata,2017-05-16,102.13
Aguas da Prata,2017-06-07,46.66
Aguas da Prata,2017-08-31,55.0
Aguas da Prata,2018-03-03,66.89
Aguas da Prata,2018-05-16,351.01
Aguas da Prata,2018-06-21,519.14
Aguas de Lindoia,2017-04-28,175.57
Aguas de Lindoia,2017-05-23,212.73000000000002
Aguas de Lindoia,2017-09-20,674.3
Aguas de Lindoia,2017-11-07,128.04000000000002
Aguas de Lindoia,2017-11-18,166.23000000000002
Aguas de Lindoia,2017-11-26,67.83
Aguas de Lindoia,2018-02-18,100.22
Aguas de Lindoia,2018-03-19,82.14
