order_purchase_date,avg_order_delivery_time_in_day
2018-01-07,1.6423756701030928E8
2018-01-08,1.669530418118467E8
2018-01-09,1.7487495180722892E8
2018-01-10,1.9585348339483395E8
2018-01-11,1.827121603053435E8
2018-01-12,1.9159708860759494E8
2018-01-13,1.7321349056603774E8
2018-01-14,1.7260477826086956E8
2018-01-15,1.6868673267326733E8
2018-01-16,1.7682094630872482E8
2018-01-17,1.7154125806451613E8
2018-01-18,1.8035681012658226E8
2018-01-19,1.922273127753304E8
2018-01-20,1.9515708791208792E8
2018-01-21,1.856151649484536E8
2018-01-22,1.6807885714285713E8
2018-01-23,1.8176246511627907E8
2018-01-24,2.111467875E8
2018-01-25,1.929646387665198E8
2018-01-26,1.8275638116591927E8
2018-01-27,1.8001098E8
2018-01-28,1.6910592E8
2018-01-29,2.054045082644628E8
2018-01-30,2.032449677419355E8
2018-01-31,1.8803920553359684E8
2018-02-01,1.931696052631579E8
2018-02-02,2.1988377990430623E8
2018-02-03,2.18321671875E8
2018-02-04,1.9172329949238577E8
2018-02-05,2.1498208988764045E8
2018-02-06,1.98694875E8
2018-02-07,2.0063562962962964E8
2018-02-08,2.254070220264317E8
2018-02-09,2.3654535576923078E8
2018-02-10,2.1484249714285713E8
2018-02-11,2.1743918674698794E8
2018-02-12,2.1821517757009345E8
2018-02-13,1.9216861926605505E8
2018-02-14,1.9630759375E8
2018-02-15,2.107805625E8
2018-02-16,2.1512755450236967E8
2018-02-17,2.2419204545454547E8
2018-02-18,2.0727393467336684E8
2018-02-19,2.0354979841897234E8
2018-02-20,1.9296440492957747E8
2018-02-21,2.1765120689655173E8
2018-02-22,2.283402379182156E8
2018-02-23,2.4761371673819742E8
2018-02-24,2.7608182105263156E8
2018-02-25,2.4406910729613733E8
2018-02-26,2.538970824742268E8
2018-02-27,2.46486409556314E8
2018-02-28,2.36658664495114E8
2018-03-01,2.3746258208955225E8
2018-03-02,2.5949881368821293E8
2018-03-03,2.5186855609756097E8
2018-03-04,2.464395327510917E8
2018-03-05,2.3375255294117647E8
2018-03-06,2.355561365313653E8
2018-03-07,2.3976339688715953E8
2018-03-08,2.2030728947368422E8
2018-03-09,2.4245721E8
2018-03-10,2.486394385026738E8
2018-03-11,2.2558863302752292E8
2018-03-12,2.359291441048035E8
2018-03-13,2.1692633944954127E8
2018-03-14,2.2250107653061223E8
2018-03-15,2.1904941758241758E8
2018-03-16,2.1275889795918366E8
2018-03-17,2.2546729213483146E8
2018-03-18,1.8953756872037914E8
2018-03-19,1.909670168918919E8
2018-03-20,1.81401204778157E8
2018-03-21,1.732754193548387E8
2018-03-22,1.8059174103585657E8
2018-03-23,1.7094785167464116E8
2018-03-24,1.8112400613496932E8
2018-03-25,1.8042437368421054E8
2018-03-26,1.7701446666666666E8
2018-03-27,1.756906875E8
2018-03-28,1.8586962085308057E8
2018-03-29,2.0787115263157895E8
2018-03-30,1.9359193251533744E8
2018-03-31,1.766179090909091E8
2018-04-01,1.4849781683168316E8
2018-04-02,1.634402618181818E8
2018-04-03,1.619627195121951E8
2018-04-04,1.4822125E8
2018-04-05,1.509033396226415E8
2018-04-06,1.521998950276243E8
2018-04-07,1.6056503105590063E8
2018-04-08,1.4448726486486486E8
2018-04-09,1.3697781274900398E8
2018-04-10,1.4933929591836736E8
2018-04-11,1.428891330798479E8
2018-04-12,1.6071075E8
2018-04-13,1.6086467512690356E8
2018-04-14,1.688722397260274E8
2018-04-15,1.380402818181818E8
2018-04-16,1.4815114440433213E8
2018-04-17,1.5113487209302327E8
2018-04-18,1.5705295620437956E8
2018-04-19,1.5719409278350514E8
2018-04-20,1.5132084375E8
2018-04-21,1.3976814193548387E8
2018-04-22,1.2865061306532663E8
2018-04-23,1.3722540845070422E8
2018-04-24,1.4143527067669174E8
2018-04-25,1.4355205714285713E8
2018-04-26,1.4689878260869566E8
2018-04-27,1.56294E8
2018-04-28,1.5196063473053893E8
2018-04-29,1.4422856804733726E8
2018-04-30,1.3289625E8
2018-05-01,1.3140414285714285E8
2018-05-02,1.430266920415225E8
2018-05-03,1.3927705629139072E8
2018-05-04,1.473235909090909E8
2018-05-05,1.4018071875E8
2018-05-06,1.3366044174757281E8
2018-05-07,1.3080205177111717E8
2018-05-08,1.2597993808049536E8
2018-05-09,1.401852284866469E8
2018-05-10,1.4399070545454547E8
2018-05-11,1.5200085245901638E8
2018-05-12,1.4717664356435645E8
2018-05-13,1.2855158737864077E8
2018-05-14,1.3126843454038997E8
2018-05-15,1.3813254154727793E8
2018-05-16,1.5975780845070422E8
2018-05-17,1.802656205357143E8
2018-05-18,1.7828393562231758E8
2018-05-19,1.7896506474820143E8
2018-05-20,1.7923899375E8
2018-05-21,1.743991055276382E8
2018-05-22,1.5535567005076143E8
2018-05-23,1.5031296268656716E8
2018-05-24,1.4107404424778762E8
2018-05-25,1.6101288349514562E8
2018-05-26,1.69128E8
2018-05-27,1.7536689E8
2018-05-28,1.48212E8
2018-05-29,1.4660766E8
2018-05-30,1.720884820143885E8
2018-05-31,1.4911073333333334E8
2018-06-01,1.5779462903225806E8
2018-06-02,1.6045789436619717E8
2018-06-03,1.2056679473684211E8
2018-06-04,1.2063804910714285E8
2018-06-05,1.2937778680203046E8
2018-06-06,1.3981531578947368E8
2018-06-07,1.3148617699115044E8
2018-06-08,1.463407846153846E8
2018-06-09,1.3703671597633135E8
2018-06-10,1.20181265625E8
2018-06-11,1.2039493288590604E8
2018-06-12,1.1494581376518218E8
2018-06-13,1.134628588235294E8
2018-06-14,1.2048126760563381E8
2018-06-15,1.303512032967033E8
2018-06-16,1.2169887272727273E8
2018-06-17,1.0131548684210527E8
2018-06-18,9.68157918367347E7
