order_purchase_date,Total_sales
2018-04-12,42785.44
2018-04-13,30433.42
2018-04-14,31638.17
2018-04-15,36361.14
2018-04-16,45125.78
2018-04-17,58808.53
2018-04-18,50868.09
2018-04-19,56224.76
2018-04-20,40929.28
2018-04-21,22689.69
2018-04-22,43184.44
2018-04-23,50026.29
2018-04-24,47438.06
2018-04-25,53997.67
2018-04-26,47442.8
2018-04-27,35385.05
2018-04-28,28623.41
2018-04-29,37257.95
2018-04-30,37290.33
2018-05-01,53063.14
2018-05-02,39988.14
2018-05-03,48563.3
2018-05-04,44015.84
2018-05-05,36828.78
2018-05-06,29958.81
2018-05-07,60015.81
2018-05-08,60209.16
2018-05-09,54568.66
2018-05-10,63121.25
2018-05-11,53334.59
2018-05-12,36806.18
2018-05-13,33727.14
2018-05-14,68497.85
2018-05-15,68138.03
2018-05-16,62215.1
2018-05-17,41916.12
2018-05-18,40097.05
2018-05-19,25943.83
2018-05-20,29203.04
2018-05-21,28637.86
2018-05-22,28645.64
2018-05-23,25828.81
2018-05-24,23188.66
2018-05-25,18949.54
2018-05-26,20702.32
2018-05-27,19708.1
2018-05-28,33726.61
2018-05-29,25654.21
2018-05-30,20252.86
2018-05-31,20171.33
2018-06-01,27503.47
2018-06-02,21572.07
2018-06-03,28780.36
2018-06-04,33500.74
2018-06-05,30715.92
2018-06-06,53389.18
2018-06-07,50489.99
2018-06-08,39090.95
2018-06-09,27008.59
2018-06-10,41562.0
2018-06-11,42756.86
2018-06-12,57609.67
2018-06-13,36042.15
2018-06-14,34153.41
2018-06-15,37150.54
2018-06-16,25870.05
2018-06-17,27854.91
2018-06-18,43640.12
2018-06-19,39341.78
2018-06-20,44593.54
2018-06-21,48565.29
2018-06-22,29087.94
2018-06-23,25039.71
2018-06-24,43662.62
2018-06-25,44251.21
2018-06-26,44576.3
2018-06-27,36256.54
2018-06-28,40095.62
2018-06-29,34490.62
2018-06-30,24573.61
2018-07-01,32775.8
2018-07-02,35810.07
2018-07-03,43001.38
2018-07-04,51829.58
2018-07-05,39779.64
2018-07-06,18267.55
2018-07-07,20967.0
2018-07-08,20332.93
2018-07-09,22281.4
2018-07-10,19617.41
2018-07-11,20780.54
2018-07-12,23474.07
2018-07-13,23855.2
2018-07-14,27066.33
2018-07-15,21827.16
2018-07-16,43687.6
2018-07-17,38894.42
2018-07-18,51822.25
2018-07-19,45878.52
2018-07-20,52179.81
2018-07-21,28700.65
2018-07-22,38739.43
2018-07-23,63961.93
2018-07-24,60588.56
2018-07-25,46929.59
2018-07-26,51862.34
2018-07-27,27021.78
2018-07-28,31510.93
2018-07-29,29769.67
2018-07-30,55678.36
2018-07-31,56488.19
2018-08-01,59408.37
2018-08-02,50402.47
2018-08-03,66646.32
2018-08-04,38842.23
2018-08-05,40999.77
2018-08-06,74164.83
2018-08-07,68579.11
2018-08-08,75042.68
2018-08-09,86182.23
2018-08-10,38265.36
2018-08-11,32236.24
2018-08-12,34560.86
2018-08-13,43014.03
2018-08-14,54703.74
2018-08-15,50253.33
2018-08-16,51550.45
2018-08-17,43560.7
2018-08-18,44939.31
2018-08-19,30215.4
2018-08-20,50884.3
2018-08-21,48273.07
2018-08-22,36396.79
2018-08-23,25365.51
2018-08-24,13968.33
2018-08-25,9948.65
2018-08-26,14911.01
2018-08-27,10856.47
2018-08-28,7981.68
2018-08-29,2338.51
2018-08-30,382.11
2018-08-31,228.76
2018-09-03,398.44
2018-09-06,606.76
2018-09-10,60.27
2018-09-11,46.77
2018-09-12,127.43
2018-09-13,203.52
2018-09-17,87.64
2018-09-20,236.95
2018-09-25,42.0
2018-09-26,234.84
2018-09-29,72.68
2018-10-01,66.64
2018-10-03,36.78
2018-10-16,24.23
2018-10-17,70.93
