customer_city,order_purchase_year,order_purchase_week,Total_sales
Alem Paraiba,2018,31,73.16
Alem Paraiba,2018,33,264.72
Alem Paraiba,2018,34,136.04
Alem Paraiba,2018,4,296.24
Alem Paraiba,2018,8,197.11
Alem Paraiba,2018,9,61.050000000000004
Alexandria,2017,15,138.15
Alexandria,2017,20,152.7
Alexandria,2018,10,81.57
Alexandrita,2018,5,229.79999999999998
Alexania,2017,10,45.120000000000005
Alexania,2017,19,85.13
Alexania,2017,8,231.26
Alexania,2018,6,263.62
Alfenas,2017,11,120.79
Alfenas,2017,12,274.84
Alfenas,2017,17,67.3
Alfenas,2017,18,286.31
Alfenas,2017,19,111.42
Alfenas,2017,23,62.01
Alfenas,2017,24,175.67
Alfenas,2017,27,210.61
Alfenas,2017,28,290.76
Alfenas,2017,35,174.07
Alfenas,2017,36,36.01
Alfenas,2017,38,98.64999999999999
Alfenas,2017,41,77.57
Alfenas,2017,43,171.99
Alfenas,2017,46,73.47
Alfenas,2017,47,210.60000000000002
Alfenas,2017,50,237.39999999999998
Alfenas,2017,52,92.77000000000001
Alfenas,2017,7,127.55000000000001
Alfenas,2017,8,112.04
Alfenas,2017,9,138.26
Alfenas,2018,11,240.25
Alfenas,2018,12,529.8
Alfenas,2018,16,78.65
Alfenas,2018,18,22.939999999999998
Alfenas,2018,19,21.09
Alfenas,2018,20,112.04
Alfenas,2018,26,221.26
Alfenas,2018,27,148.15
Alfenas,2018,28,148.15
Alfenas,2018,29,223.83999999999997
Alfenas,2018,30,40.85
Alfenas,2018,31,109.72
Alfenas,2018,32,110.16
Alfenas,2018,33,322.09999999999997
Alfenas,2018,34,310.03
Alfenas,2018,5,244.72
Alfenas,2018,6,289.37
Alfenas,2018,7,175.26
Alfenas,2018,8,118.72
Alfenas,2018,9,82.22
Alfredo Chaves,2017,36,213.78
Alfredo Chaves,2017,44,106.87
Alfredo Chaves,2017,48,91.28
Alfredo Chaves,2018,20,122.27
Alfredo Chaves,2018,29,44.41
Alfredo Guedes,2018,2,89.39
Alfredo Marcondes,2018,20,169.23
Alfredo Vasconcelos,2017,9,160.18
Alfredo Vasconcelos,2018,22,205.49
Alhandra,2017,22,869.09
Alianca,2017,30,89.92999999999999
Alianca,2017,6,585.73
Alianca,2018,17,135.6
Alianca do Tocantins,2018,15,112.11999999999999
Almas,2017,36,66.78
Almas,2018,26,46.78
Almenara,2017,30,246.38
Almenara,2017,39,1479.51
Almenara,2017,41,860.97
Almenara,2017,46,187.83
Almenara,2017,52,87.39
Almenara,2017,9,74.16
Almenara,2018,12,81.78
Almenara,2018,15,170.57000000000002
Almenara,2018,23,53.98
Almenara,2018,24,226.24
Almenara,2018,29,68.22
Almenara,2018,3,316.84000000000003
Almenara,2018,30,429.40999999999997
Almenara,2018,4,44.1
Almenara,2018,5,46.01
Almenara,2018,6,132.48
Almino Afonso,2017,41,246.03
Almino Afonso,2017,47,173.39000000000001
Almino Afonso,2018,32,115.02000000000001
Almirante Tamandare,2017,12,530.34
Almirante Tamandare,2017,14,250.54
Almirante Tamandare,2017,20,454.47
